id,product_sku,brand_id,name,description,price,sub_category_id,created_at,updated_at,is_active
22,83F3003VVN,4,Lenovo Gaming Legion Pro 5 16IAX10 Ultra 9 275HX (83F3003VVN),"Tản nhiệt Legion, Coldfront Hyper, Legion AI Engine+",49990000,4,8/17/2025 13:37,8/17/2025 13:37,TRUE
23,MSI Gaming Stealth 14 AI Studio A1VFG-050VN,1,MSI Gaming Stealth 14 AI Studio A1VFG-050VN Ultra 7 155H,"Gaming mỏng nhẹ, 1.7kg, Vapor Champer, Màn hình 2.8K OLED",49990000,4,8/17/2025 13:38,8/17/2025 13:38,TRUE
24,21KC008MVN,4,Lenovo ThinkPad X1 Carbon Gen 12 Ultra 7 155H (21KC008MVN),Lenovo ThinkPad X1 Carbon Gen 12 U7-155H (21KC008MVN),49490000,5,8/17/2025 13:38,8/17/2025 13:38,TRUE
25,PHN14-51-99Y8,5,Acer Predator Helios Neo 14 PHN14-51-99Y8 Ultra 9 185H,"Laptop Acer Predator Helios Neo 14 với màn hình 3K 165Hz, GeForce RTX 4060 8GB, bảo hành nhanh 3 ngày, trả góp 0%.",49190000,4,8/17/2025 13:38,8/17/2025 13:38,TRUE
26,MSI Gaming Vector 16 HX AI A2XWHG-010VN,1,MSI Gaming Vector 16 HX AI A2XWHG-010VN Ultra 7 255HX,"Chuẩn AI Copilot+ PC, Tản nhiệt Cooler Boost 5, Thunderbolt 5 siêu tốc, Trả góp 0%",48990000,4,8/17/2025 13:39,8/17/2025 13:39,TRUE
27,MSI Gaming Crosshair 16 HX D2XWGKG-071VN,1,MSI Gaming Crosshair 16 HX D2XWGKG-071VN Ultra 9 275HX,"Bàn phím gaming, RGB 24 vùng, Chuẩn AI Copilot+ PC, Màn hình 16"", QHD+ 240Hz",48990000,4,8/17/2025 13:39,8/17/2025 13:39,TRUE
28,PTN16-51-78JQ,5,Acer Predator Triton Neo 16 Gaming PTN16-51-78JQ Ultra 7 155H,"Laptop gaming Acer Predator Triton Neo 16 với card đồ họa GeForce RTX AI 4060, tản nhiệt cánh quạt 3D AeroBlade 5, bảo hành nhanh 3 ngày, trả góp 0%, giảm giá 2.500.000 ₫, tặng kèm Balo Gaming SUV.",48990000,4,8/17/2025 13:40,8/17/2025 13:40,TRUE
29,SKU-E387BE24,3,MacBook Pro 14 M4 2024 10CPU/10GPU/24GB/1TB,"Chip M4 thế hệ mới, thời lượng pin dài lâu, Màn hình sáng khó tin",48890000,5,8/17/2025 13:40,8/17/2025 13:40,TRUE
30,SKU-E8111D91,3,MacBook Pro 14 M4 Pro 2024 12CPU/16GPU/24GB/512GB,"Chip M4 Pro, chuyên nghiệp, Pin dài đến 24 tiếng, siêu mỏng, Màn hình sáng, khó tin, Trả góp 0%",47990000,5,8/17/2025 13:40,8/17/2025 13:40,TRUE
31,83F0003CVN,4,Lenovo Gaming Legion 5 15IAX10 U7 255HX,"Laptop gaming Lenovo Legion 5 với RTX 5060, AI Copilot+, kèm Office Home 2024.",46990000,4,8/17/2025 13:41,8/17/2025 13:41,TRUE
32,MSI Gaming Crosshair 16 HX D2XWGKG-072VN,1,MSI Gaming Crosshair 16 HX D2XWGKG-072VN Ultra 7 255HX,"Laptop gaming với bàn phím RGB 24 vùng, chuẩn AI Copilot+ PC, màn hình 16"" QHD+ 240Hz, trả góp 0%.",46990000,4,8/17/2025 13:41,8/17/2025 13:41,TRUE
33,G615JPR-S5107W,2,Asus Gaming ROG Strix G16 G615JPR-S5107W i7-14650HX,"Laptop Asus Gaming ROG Strix G16 với màn hình 16"" 2.5K, 3 quạt tản nhiệt, NVIDIA GeForce RTX 5070.",46590000,4,8/17/2025 13:41,8/17/2025 13:41,TRUE
34,83LY004GVN,4,Lenovo Gaming Legion 5 15IRX10 i7-14700HX,Lenovo Gaming Legion 5 15IRX10 i7-14700HX,46490000,4,8/17/2025 13:42,8/17/2025 13:42,TRUE
35,MSI Gaming Crosshair 16 HX D2XWGKG-034VN,1,MSI Gaming Crosshair 16 HX D2XWGKG-034VN Ultra 7 255HX,"Bàn phím gaming, RGB 24 vùng, Chuẩn AI Copilot+ PC, Màn hình 16"", QHD+ 240Hz",45990000,4,8/17/2025 13:42,8/17/2025 13:42,TRUE
36,83E2005DVN,4,Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H,"Lenovo AI Engine+, Màn hình 2.8K OLED, Phím cứng Copilot, Trả góp 0%",44490000,5,8/17/2025 13:42,8/17/2025 13:42,TRUE
37,SFX14-72G-77F9,5,Acer Swift X AI SFX14-72G-77F9 Ultra 7 155H,"Laptop Acer Swift X AI với màn hình 2.8K OLED, tích hợp AI Acer Sense, bảo hành nhanh 3 ngày, trả góp 0%.",44190000,6,8/17/2025 13:43,8/17/2025 13:43,TRUE
38,SKU-E0765D1E,3,MacBook Pro 14 M4 2024 10CPU/10GPU/16GB/1TB,"Chip M4 thế hệ mới, thời lượng pin dài lâu, Màn hình sáng khó tin",43990000,5,8/17/2025 13:43,8/17/2025 13:43,TRUE
39,83AC000SVN,4,Lenovo Yoga 9 2in1 14IMH9 Ultra 7 155H,"Lenovo AI Engine+, Màn hình 2.8K OLED, Phím cứng Copilot, Trả góp 0%",42990000,5,8/17/2025 13:44,8/17/2025 13:44,TRUE
40,MSI Gaming Katana 15 HX B14WGK-023VN,1,MSI Gaming Katana 15 HX B14WGK-023VN i7-14650HX,"Laptop gaming với tần số quét 165Hz, Mux Switch, NVIDIA GeForce RTX 5070.",41990000,4,8/17/2025 13:44,8/17/2025 13:44,TRUE
41,FX608JPR-RV044W,2,Asus TUF Gaming F16 FX608JPR-RV044W i7-14650HX,"Laptop Asus TUF Gaming F16 với RTX 5070, màn hình 16 inch 165Hz 100% sRGB.",41990000,4,8/17/2025 13:44,8/17/2025 13:44,TRUE
42,FA401KM-RG010WS,2,Asus TUF Gaming A14 FA401KM-RG010WS Ryzen AI 7 350,"Laptop Asus TUF Gaming A14 Ryzen AI 7, NVIDIA GeForce RTX 5060, Chuẩn AI Copilot+ PC, Tặng Office Home 2024",41190000,4,8/17/2025 13:45,8/17/2025 13:45,TRUE
43,83LY004JVN,4,Lenovo Gaming Legion 5 15IRX10 i7-14700HX,"Laptop gaming Lenovo Legion 5 với màn hình OLED, Mux Switch.",41090000,4,8/17/2025 13:45,8/17/2025 13:45,TRUE
44,MSI Gaming Crosshair 16 HX D2XWFKG-070VN,1,MSI Gaming Crosshair 16 HX D2XWFKG-070VN Ultra 9 275HX,"Bàn phím gaming, RGB 24 vùng, Chuẩn AI Copilot+ PC, Màn hình 16"", QHD+ 240Hz",40990000,4,8/17/2025 13:45,8/17/2025 13:45,TRUE
45,HX D2XWFKG-078VN,1,MSI Gaming Crosshair 16 HX D2XWFKG-078VN Ultra 7 255HX,"Bàn phím gaming, RGB 24 vùng, Chuẩn AI Copilot+ PC, Màn hình 16"", QHD+ 240Hz",40990000,4,8/17/2025 13:46,8/17/2025 13:46,TRUE
46,SKU-4C14B7C8,3,Macbook Air 15 M4 2025 10CPU/10GPU/24GB/512GB,"Pin lên đến 18 giờ, Apple Intelligence, tối ưu, Chip Apple M4 AI mạnh mẽ",40490000,6,8/17/2025 13:46,8/17/2025 13:46,TRUE
47,UX5406SA-PV140WS,2,Asus Zenbook S 14 OLED UX5406SA-PV140WS Ultra 7 258V,"Chuẩn AI Copilot+ PC, Mỏng nhẹ 1.2kg, Lumina OLED 2.8K",39490000,5,8/17/2025 13:47,8/17/2025 13:47,TRUE
48,MSI Gaming Crosshair 16 HX D2XWFKG-036VN,1,MSI Gaming Crosshair 16 HX D2XWFKG-036VN Ultra 7 255HX,"Laptop gaming với màn hình 16"" QHD+ 240Hz, chuẩn AI Copilot+ PC, bàn phím RGB 24 vùng",38990000,4,8/17/2025 13:47,8/17/2025 13:47,TRUE
49,FX608JMR-RV048W,2,Asus TUF Gaming F16 FX608JMR-RV048W i7-14650HX,"Laptop Asus TUF Gaming F16 với màn hình 16 inch, 100% sRGB, tần số quét 165Hz, NVIDIA GeForce RTX 5060.",38990000,4,8/17/2025 13:47,8/17/2025 13:47,TRUE
50,83HN0022VN,4,Lenovo Yoga Pro 7 14ASP9 R9 AI 365 (83HN0022VN),"Lenovo Yoga Pro 7, R9 AI 365, 100% sRGB, Chuẩn AI Copilot+ PC",38990000,5,8/17/2025 13:48,8/17/2025 13:48,TRUE
51,SKU-27232718,3,MacBook Pro 14 2023 M3 8 CPU/10 GPU/16GB/512GB,"MacBook Pro 14 2023 với chip Apple M3, màn hình Liquid Retina XDR, pin lên đến 22 giờ.",38990000,5,8/17/2025 13:48,8/17/2025 13:48,TRUE
52,SKU-7812698E,5,Acer Swift 14 AI SF14-51-75VP Ultra 7 258V,"Laptop với chuẩn AI Copilot+, màn hình 3K OLED, bảo hành nhanh trong 3 ngày, trả góp 0%.",38890000,6,8/17/2025 13:48,8/17/2025 13:48,TRUE
53,SKU-E176AFE3,3,MacBook Pro 14 M4 2024 10CPU/10GPU/16GB/512GB,"Chip M4 thế hệ mới, thời lượng pin dài lâu, màn hình sáng khó tin.",38190000,5,8/17/2025 13:49,8/17/2025 13:49,TRUE
54,83JQ0049VN,4,Lenovo Yoga 7 2-in-1 14ILL10 Ultra 7 285V,"Chuẩn AI Copilot+ PC, Màn hình cảm ứng, 2.8K OLED, Bản lề gập 360°, Trả góp 0%",37990000,6,8/17/2025 13:49,8/17/2025 13:49,TRUE
55,UX3405CA-PZ204WS,2,Asus Zenbook 14 OLED UX3405CA-PZ204WS Ultra 9 285H,"Màn hình cảm ứng, 2.8K OLED, Tần số quét 120 Hz, Tặng Office Home 2024",37490000,5,8/17/2025 13:49,8/17/2025 13:49,TRUE
56,UM5606KA-RK113WS,2,Asus Zenbook S 16 OLED UM5606KA-RK113WS Ryzen AI 7 350,"Laptop Asus Zenbook S 16 OLED với màn hình 2.8K OLED, chuẩn AI Copilot+ PC, đi kèm Office Home 2024.",37390000,5,8/17/2025 13:50,8/17/2025 13:50,TRUE
57,83LY00A7VN,4,Lenovo Gaming Legion 5 15IRX10 i7-14700HX (83LY00A7VN),Lenovo Gaming Legion 5 15IRX10 i7 14700HX (83LY00A7VN) với tản nhiệt Legion Coldfront Hyper và Legion AI Engine+.,36990000,4,8/17/2025 13:50,8/17/2025 13:50,TRUE
58,FX608JHR-RV037W,2,Asus TUF Gaming F16 FX608JHR-RV037W i7-14650HX,"Laptop Asus TUF Gaming F16 với màn hình 16 inch, 100% sRGB, tần số quét 165Hz, NVIDIA GeForce RTX 5050",36490000,4,8/17/2025 13:51,8/17/2025 13:51,TRUE
59,MSI Prestige 13 AI+ Evo A2VMG-040VN,1,MSI Prestige 13 AI+ Evo A2VMG-040VN Ultra 7 258V,"Siêu mỏng - Siêu nhẹ, Vỏ kim loại, Pin lớn 75 Whr",35490000,5,8/17/2025 13:51,8/17/2025 13:51,TRUE
60,SKU-5A132287,3,Macbook Air 13 M4 2025 10CPU/10GPU/24GB/512GB,"Pin lên đến 18 giờ, Apple Intelligence, tối ưu, Chip Apple M4 AI mạnh mẽ",35190000,6,8/17/2025 13:51,8/17/2025 13:51,TRUE
61,SKU-700155F5,3,Macbook Air 15 M4 2025 10CPU/10GPU/16GB/512GB,"Pin lên đến 18 giờ, Apple Intelligence, tối ưu, Chip Apple M4 AI mạnh mẽ",34990000,6,8/17/2025 13:52,8/17/2025 13:52,TRUE
62,MSI Gaming Katana 15HX B14WEK-027VN,1,MSI Gaming Katana 15HX B14WEK-027VN i7-14650HX,"Laptop MSI Gaming Katana 15HX B14WEK-027VN i7-14650HX với NVIDIA GeForce RTX 5050, tần số quét 165Hz, hỗ trợ Mux Switch, trả góp 0%.",34490000,4,8/17/2025 13:52,8/17/2025 13:52,TRUE
63,SF14-51-53P9,5,Acer Swift 14 AI SF14-51-53P9 Ultra 5 226V,"Laptop Acer Swift 14 AI với chuẩn AI Copilot+, màn hình 3K OLED, bảo hành nhanh.",34190000,5,8/17/2025 13:52,8/17/2025 13:52,TRUE
64,V3607VM-RP044W,2,Asus Vivobook Gaming V16 V3607VM-RP044W Core 7 240H,"Laptop Asus Vivobook Gaming V16 với tần số quét 144Hz, độ bền chuẩn quân đội, 2 quạt tản nhiệt.",33490000,4,8/17/2025 13:53,8/17/2025 13:53,TRUE
65,SKU-60C723BE,3,MacBook Air 13 M3 2024 8CPU/10GPU/24GB/512GB,"Chip M3 đầy sức mạnh, Siêu nhẹ và siêu mỏng, Màn hình 1 tỷ màu rực rỡ",33190000,6,8/17/2025 13:53,8/17/2025 13:53,TRUE
66,UX3405CA-PZ188WS,2,Asus Zenbook 14 UX3405CA-PZ188WS Ultra 7 255H,"Asus Zenbook 14, Vỏ kim loại, Mỏng nhẹ 1.2kg",32990000,7,8/17/2025 13:53,8/17/2025 13:53,TRUE
67,AY8V2PA,7,HP Envy X360 14-fc0151TU Ultra 7 155U,"Laptop HP Envy X360 14-fc0151TU với màn hình cảm ứng 2.8K OLED, camera AI 5MP, kèm Office Home&Student.",32990000,7,8/17/2025 13:54,8/17/2025 13:54,TRUE
68,SKU-FDAD955B,5,Acer Nitro V 15 ProPanel Gaming ANV15-51-78BG i7-13620H,"Laptop gaming Acer Nitro V 15 với card đồ họa GeForce RTX AI 4060, màn hình 100% sRGB, bảo hành nhanh, trả góp 0%, tặng balo gaming SUV.",32990000,4,8/17/2025 13:54,8/17/2025 13:54,TRUE
69,FX608JH-RV039W,2,Asus TUF Gaming F16 FX608JH-RV039W i5-13450HX,"Laptop Asus TUF Gaming F16 với màn hình 16"" 165Hz, tản nhiệt hiệu quả, NVIDIA GeForce RTX 5050.",31990000,4,8/17/2025 13:55,8/17/2025 13:55,TRUE
70,83JE006PVN,4,Lenovo Gaming LOQ 15IRX10 i7 13650HX,"Laptop Lenovo Gaming LOQ 15IRX10 i7 13650HX với màn hình 100% sRGB, hỗ trợ Mux Switch, card đồ họa NVIDIA GeForce RTX 5050.",31990000,4,8/17/2025 13:55,8/17/2025 13:55,TRUE
71,A19BTPA,7,HP Envy X360 14-fc0084TU Ultra 7 155U,"Laptop HP Envy X360 màn hình cảm ứng 2.8K OLED, hỗ trợ trả góp 0%, giảm giá.",31890000,7,8/17/2025 13:55,8/17/2025 13:55,TRUE
72,14-fc0153TU_AY8V4PA,7,HP Envy X360 14-fc0153TU Ultra 7 155U,"Laptop HP Envy X360 với màn hình cảm ứng 2.8K OLED, camera AI 5MP, đi kèm Office Home&Student, trả góp 0%.",31690000,5,8/17/2025 13:56,8/17/2025 13:56,TRUE
73,SKU-0D5B1994,3,Macbook Air 13 M4 2025 10CPU/10GPU/16GB/512GB,"Pin lên đến 18 giờ, Apple Intelligence, tối ưu, Chip Apple M4 AI mạnh mẽ",30990000,6,8/17/2025 13:56,8/17/2025 13:56,TRUE
74,83JG0047VN,4,Lenovo Gaming LOQ 15AHP10 R7 250,"Chuẩn AI Copilot+ PC, Hỗ trợ Mux Switch, NVIDIA GeForce RTX 5050",30990000,4,8/17/2025 13:56,8/17/2025 13:56,TRUE
75,ANV15-52-72BM,5,Acer Gaming Nitro V 15 ProPanel ANV15-52-72BM i7 13620H,"Acer Gaming Nitro V 15 ProPanel với i7 13620H, NVIDIA GeForce RTX 5050, 100% sRGB.",30990000,4,8/17/2025 13:57,8/17/2025 13:57,TRUE
76,SKU-56DAC8DD,3,MacBook Air 15 inch M2 2023 8CPU 10GPU/8GB/512GB/Sạc 70W,"Màn hình lớn 15 inch, Chip Apple M2, Thời lượng pin 18 giờ",30990000,6,8/17/2025 13:57,8/17/2025 13:57,TRUE
77,MSI Gaming Katana 15 B13VGK-2065VN,1,MSI Gaming Katana 15 B13VGK-2065VN i7-13620H,"Tản nhiệt, Cooler Boost 5, Bàn phím gaming RGB, Hỗ trợ Mux Switch, Trả góp 0%",30790000,4,8/17/2025 13:57,8/17/2025 13:57,TRUE
78,S5406SA-PP059WS,2,Asus Vivobook S 14 OLED S5406SA-PP059WS Ultra 7 258V,"Lumina OLED 2.8K, Tặng Office Home 2024, Chuẩn AI Copilot+ PC, Trả góp 0%",30690000,7,8/17/2025 13:58,8/17/2025 13:58,TRUE
79,SKU-EC650CAE,3,Macbook Air 15 M4 2025 10CPU/10GPU/16GB/256GB,"Pin lên đến 18 giờ, Apple Intelligence, tối ưu, Chip Apple M4 AI mạnh mẽ, Trả góp 0%",30690000,6,8/17/2025 13:58,8/17/2025 13:58,TRUE
80,8C5N2PA,7,HP Gaming Victus 16-r0127TX i7-13700H,"Laptop HP Gaming Victus 16-r0127TX i7-13700H với GeForce RTX AI 4060, 2 quạt tản nhiệt, Âm thanh B&O Play, Trả góp 0%",30690000,4,8/17/2025 13:59,8/17/2025 13:59,TRUE
81,AY8U2PA,7,HP Envy X360 14-fa0092AU R7-8840HS,"Laptop HP Envy X360 màn hình cảm ứng 2.8K OLED, Camera AI 5MP, kèm Office Home&Student",30490000,5,8/17/2025 13:59,8/17/2025 13:59,TRUE
82,M5406WA-PP071WS,2,Asus Vivobook S 14 OLED M5406WA-PP071WS Ryzen AI 9 HX 370,"Laptop Asus Vivobook S 14 OLED với Ryzen AI 9 HX 370, Lumina OLED 2.8K, 2 quạt tản nhiệt.",29990000,6,8/17/2025 13:59,8/17/2025 13:59,TRUE
83,UX3405MA-PP152W,2,Asus Zenbook 14 OLED UX3405MA-PP152W Ultra 7 155H,"Mỏng nhẹ 1.2kg, Sound by harman/kardon, Lumina OLED 2.8K",29990000,7,8/17/2025 14:00,8/17/2025 14:00,TRUE
84,AY8U3PA,7,HP Envy X360 14-fa0093AU R7-8840HS,"Laptop HP Envy X360 14-fa0093AU R7-8840HS với camera AI 5MP, màn hình cảm ứng 2.8K OLED, tặng Office Home&Student.",29990000,6,8/17/2025 14:00,8/17/2025 14:00,TRUE
85,UX3405CA-PZ368WS,2,Asus Zenbook 14 OLED UX3405CA-PZ368WS Ultra 7 255H,"Laptop Asus Zenbook 14 OLED với màn hình cảm ứng 2.8K OLED, tần số quét 120 Hz, tặng Office Home 2024.",29990000,7,8/17/2025 14:00,8/17/2025 14:00,TRUE
86,71053700,8,Dell Gaming G15 5530 i7-13650HX,"Màn hình bảo vệ mắt, độ bền chuẩn quân đội, tặng Office Home 2024 & Microsoft 365, trả góp 0%",29490000,4,8/17/2025 14:01,8/17/2025 14:01,TRUE
87,UM3406KA-PP590WS,2,Asus Zenbook 14 UM3406KA-PP590WS Ryzen AI 7 350,"Laptop Asus Zenbook 14 với màn hình 3K OLED, chuẩn AI Copilot+ PC, Ryzen AI 7 350",29490000,7,8/17/2025 14:01,8/17/2025 14:01,TRUE
88,B13VFK-2099VN,1,MSI Gaming Katana 15 B13VFK-2099VN i7-13620H,"Tản nhiệt, Cooler Boost 5, Hỗ trợ Mux Switch, Bàn phím gaming RGB",29490000,4,8/17/2025 14:01,8/17/2025 14:01,TRUE
89,AY8W6PA,7,HP Envy x360 14-fc0158TU Ultra 7 155U,"Laptop HP Envy x360 14-fc0158TU Ultra 7 155U với màn hình cảm ứng 2.8K OLED, camera AI 5MP, kèm Office Home & Student. Trả góp 0%.",28990000,5,8/17/2025 14:02,8/17/2025 14:02,TRUE
90,ANV15-52-59AA,5,Acer Gaming Nitro V 15 ProPanel ANV15-52-59AA i5 13420H,"Laptop Acer Gaming Nitro V 15 ProPanel ANV15-52-59AA i5 13420H với màn hình 100% sRGB, card đồ họa NVIDIA GeForce RTX 5050.",28990000,4,8/17/2025 14:02,8/17/2025 14:02,TRUE
91,S5606CA-RI171WS,2,Asus Vivobook S16 S5606CA-RI171WS Ultra 7 255H,"Màn hình 2.8K OLED, Tần số quét 120 Hz, Tặng Office Home 2024",28990000,7,8/17/2025 14:03,8/17/2025 14:03,TRUE
92,AY8Y0PA,7,HP Gaming Victus 16-r0367TX i7-13700HX,"Laptop gaming HP Victus với bộ vi xử lý Intel Core i7-13700HX, tần số quét 165Hz, âm thanh B&O Play, 2 quạt tản nhiệt.",28990000,4,8/17/2025 14:03,8/17/2025 14:03,TRUE
93,UX3405CA-PZ187WS,2,Asus Zenbook 14 OLED UX3405CA-PZ187WS Ultra 5 225H,"Màn hình cảm ứng, 2.8K OLED, Tần số quét 120 Hz, Tặng Office Home 2024, Trả góp 0%",28990000,7,8/17/2025 14:03,8/17/2025 14:03,TRUE
94,N4I5006W1,8,Dell Inspiron 14 7440 2in1 Core 5 120U,"Dell Inspiron 14 7440 2in1 Core 5 120U Màn hình cảm ứng, Độ bền chuẩn quân đội",27890000,7,8/17/2025 14:04,8/17/2025 14:04,TRUE
95,SKU-D031DC90,2,Asus Vivobook S 16 OLED M5606KA-RI016WS Ryzen AI 7 350,"Lumina OLED 2.8K, Chuẩn AI Copilot+ PC",27890000,7,8/17/2025 14:04,8/17/2025 14:04,TRUE
96,V3607VH-RP025W,2,Asus Gaming V16 V3607VH-RP025W Core 7-240H,"Laptop gaming với quạt tản nhiệt, tần số quét 144Hz và card đồ họa NVIDIA GeForce RTX 5050.",27490000,4,8/17/2025 14:04,8/17/2025 14:04,TRUE
97,83CV00AJVN,4,Lenovo Yoga Slim 7 14IMH9 Ultra 7 155H (83CV00AJVN),"Phím cứng Copilot, Mở Khóa Khuôn Mặt, Màn hình OLED, Trả góp 0%",27490000,6,8/17/2025 14:05,8/17/2025 14:05,TRUE
98,5MNK1,8,Dell Inspiron 14 5441 SnapX X1P-64-100 (5MNK1),"Tặng Office, Home 2024, Kim loại nguyên khối, Màn hình sáng, 300 nits, Trả góp 0%",27390000,7,8/17/2025 14:05,8/17/2025 14:05,TRUE
